wbsCode,wbsName,wbsType,wbsDescription,budget
1.1.1.2.1.1,Long Lead Items,WorkPackage,"Work package for Long Lead Items",5500
1.1.1.2.1.2,Standard Equipment,WorkPackage,"Work package for Standard Equipment",5600
1.1.1.2.1.3,Bulk Materials,WorkPackage,"Work package for Bulk Materials",5700
1.1.1.2.2,Vendor Data Review,WBS,"WBS node Vendor Data Review",18585
1.1.1.2.2.1,Mechanical VDR,WorkPackage,"Work package for Mechanical VDR",5800
1.1.1.2.2.2,Electrical VDR,WorkPackage,"Work package for Electrical VDR",5900
1.1.1.2.2.3,Instrument VDR,WorkPackage,"Work package for Instrument VDR",6000
1.1.1.2.3,As-Built Updates,WBS,"WBS node As-Built Updates",19530
1.1.1.2.3.1,Redlines,WorkPackage,"Work package for Redlines",6100
1.1.1.2.3.2,Record Drawings,WorkPackage,"Work package for Record Drawings",6200
1.1.1.2.3.3,Document Control,WorkPackage,"Work package for Document Control",6300
1.1.1.3,Design Phase C,WBS,"WBS node Design Phase C",20475
1.1.1.3.1,3D Model Check,WorkPackage,"Work package for 3D Model Check",6400
1.1.1.3.2,Clash Detection,WorkPackage,"Work package for Clash Detection",6500
1.1.1.3.3,Design Review,WorkPackage,"Work package for Design Review",6600
1.1.2,Engineering Medium Branch,WBS,"WBS node Engineering Medium Branch",74419
1.1.2.1,Electrical Engineering,WBS,"WBS node Electrical Engineering",22680
1.1.2.1.1,Lighting Design,WorkPackage,"Work package for Lighting Design",7100
1.1.2.1.2,Power Distribution,WorkPackage,"Work package for Power Distribution",7200
1.1.2.1.3,Grounding,WorkPackage,"Work package for Grounding",7300
1.1.2.2,Mechanical Engineering,WBS,"WBS node Mechanical Engineering",23625
1.1.2.2.1,HVAC Design,WorkPackage,"Work package for HVAC Design",7400
1.1.2.2.2,Rotating Equipment,WorkPackage,"Work package for Rotating Equipment",7500
1.1.2.2.3,Static Equipment,WorkPackage,"Work package for Static Equipment",7600
1.1.2.3,Civil Engineering,WBS,"WBS node Civil Engineering",24570
1.1.2.3.1,Roads,WorkPackage,"Work package for Roads",7700
1.1.2.3.2,Drainage,WorkPackage,"Work package for Drainage",7800
1.1.2.3.3,Site Grading,WorkPackage,"Work package for Site Grading",7900
1.1.3,Engineering Shallow Branch,WBS,"WBS node Engineering Shallow Branch",25830
1.1.3.1,Studies,WorkPackage,"Work package for Studies",8100
1.1.3.2,Surveys,WorkPackage,"Work package for Surveys",8200
1.1.3.3,Permits Support,WorkPackage,"Work package for Permits Support",8300
1.2,Construction Branch,WBS,"WBS node Construction Branch",245417
1.2.1,Civil Construction,WBS,"WBS node Civil Construction",94264
1.2.1.1,Earthworks,WBS,"WBS node Earthworks",28980
1.2.1.1.1,Excavation,WorkPackage,"Work package for Excavation",9100
1.2.1.1.2,Backfill,WorkPackage,"Work package for Backfill",9200
1.2.1.1.3,Compaction,WorkPackage,"Work package for Compaction",9300
1.2.1.2,Concrete Works,WBS,"WBS node Concrete Works",29925
1.2.1.2.1,Foundations,WorkPackage,"Work package for Foundations",9400
1.2.1.2.2,Columns,WorkPackage,"Work package for Columns",9500
1.2.1.2.3,Slabs,WorkPackage,"Work package for Slabs",9600
1.2.1.3,Steel Erection,WBS,"WBS node Steel Erection",30870
1.2.1.3.1,Primary Steel,WorkPackage,"Work package for Primary Steel",9700
1.2.1.3.2,Secondary Steel,WorkPackage,"Work package for Secondary Steel",9800
1.2.1.3.3,Bolting,WorkPackage,"Work package for Bolting",9900
1.2.2,Mechanical Construction,WBS,"WBS node Mechanical Construction",104186
1.2.2.1,Equipment Install,WBS,"WBS node Equipment Install",32130
1.2.2.1.1,Setting,WorkPackage,"Work package for Setting",10100
1.2.2.1.2,Alignment,WorkPackage,"Work package for Alignment",10200
1.2.2.1.3,Grouting,WorkPackage,"Work package for Grouting",10300
1.2.2.2,Piping Install,WBS,"WBS node Piping Install",33075
1.2.2.2.1,Rack Piping,WorkPackage,"Work package for Rack Piping",10400
1.2.2.2.2,Underground,WorkPackage,"Work package for Underground",10500
1.2.2.2.3,Testing,WorkPackage,"Work package for Testing",10600
1.2.2.3,Insulation,WBS,"WBS node Insulation",34020
1.2.2.3.1,Hot Insulation,WorkPackage,"Work package for Hot Insulation",10700
1.2.2.3.2,Cold Insulation,WorkPackage,"Work package for Cold Insulation",10800
1.2.2.3.3,Personnel Protection,WorkPackage,"Work package for Personnel Protection",10900
1.2.3,Electrical Construction,WBS,"WBS node Electrical Construction",35280
1.2.3.1,Cable Laying,WorkPackage,"Work package for Cable Laying",11100
1.2.3.2,Terminations,WorkPackage,"Work package for Terminations",11200
1.2.3.3,Loop Checks,WorkPackage,"Work package for Loop Checks",11300
1.3,Commissioning Branch,WBS,"WBS node Commissioning Branch",124031
1.3.1,Pre-commissioning,WBS,"WBS node Pre-commissioning",38430
1.3.1.1,Cleaning,WorkPackage,"Work package for Cleaning",12100
1.3.1.2,Flushing,WorkPackage,"Work package for Flushing",12200
1.3.1.3,Drying,WorkPackage,"Work package for Drying",12300
1.3.2,Commissioning,WBS,"WBS node Commissioning",39375
1.3.2.1,Cold Commissioning,WorkPackage,"Work package for Cold Commissioning",12400
1.3.2.2,Hot Commissioning,WorkPackage,"Work package for Hot Commissioning",12500
1.3.2.3,Performance Test,WorkPackage,"Work package for Performance Test",12600
1.3.3,Close-out,WBS,"WBS node Close-out",40320
1.3.3.1,Punch List,WorkPackage,"Work package for Punch List",12700
1.3.3.2,As-Built Docs,WorkPackage,"Work package for As-Built Docs",12800
1.3.3.3,Handover,WorkPackage,"Work package for Handover",12900
